Asset,"Reported Issues",Added
538196,"case dent  severe ","2019-12-03 20:25:10"
545231,"PRESSURE MARK","2019-12-04 15:14:50"
545348,"pressure mark severe","2019-12-04 15:27:07"
545350,"cracked case severo","2019-12-04 15:56:59"
545350,"cracked case severe","2019-12-04 15:58:10"
545373,"cracked case severe","2019-12-04 16:55:02"
267149,"Cracked face","2019-12-04 17:59:59"
545383,"screen scratch  minor","2019-12-04 18:03:56"
545358,"screen  scratch minor","2019-12-04 19:42:25"
545365,"case dent coner miner","2019-12-04 20:23:22"
545352,"case dent coner severe","2019-12-04 20:30:58"
545303,"screen scratch minor","2019-12-04 20:41:19"
545300,"case dent coner minor","2019-12-04 20:52:02"
545296,"PRESSURE MARK","2019-12-04 21:16:15"
545296,"PRESSURE MARK","2019-12-04 21:17:47"
545333,"screen scratch minor ","2019-12-04 21:22:25"
545231,"pressure mark","2019-12-04 21:25:45"
545407,"pressure mark severe","2019-12-04 21:32:15"
545360,"pressure mark","2019-12-04 21:33:19"
545226,"Pressure Mark","2019-12-04 21:36:55"
545293,"SCREEN LINES","2019-12-04 21:37:20"
545196,"Pressure Mark","2019-12-04 21:38:15"
545199,"pressure mark","2019-12-04 21:39:13"
545308,"DENT CASE","2019-12-04 21:42:58"
545398,"PRESSURE MARKET","2019-12-04 21:53:31"
545398,"PRESSURE MARK","2019-12-04 21:53:53"
545304,"SCREEN BAD","2019-12-04 22:03:57"
545380,"PRESSURE MARK","2019-12-04 22:14:24"
547130,"PRESSURE MARK","2019-12-04 22:19:51"
545406,DENT,"2019-12-04 22:23:36"
545368,"pressure mark","2019-12-05 14:15:44"
545384,"Pressure Mark","2019-12-05 14:16:47"
545345,"Pressure Mark","2019-12-05 14:17:40"
545385,"Pressure Mark","2019-12-05 14:18:51"
545335,"Pressure Mark","2019-12-05 14:19:52"
545229,"Pressure Mark","2019-12-05 14:20:45"
545351,"Pressure Mark","2019-12-05 14:21:38"
545374,"Pressure Mark","2019-12-05 14:22:26"
545198,"BAD SCREEN","2019-12-05 14:28:11"
545404,"case scratch severe","2019-12-05 14:30:26"
545404,"cracked case savere","2019-12-05 14:31:25"
545204,"CASE DENT","2019-12-05 14:32:25"
545220,"Pressure Mark","2019-12-05 14:42:22"
545218,"screen burn severe","2019-12-05 14:48:06"
