Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
545441,029698172557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:58:11"
545445,001686764757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:58:28"
545275,010184763657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:58:44"
545455,000775264757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:59:07"
545324,001555564857,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:59:25"
545325,010284672557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:59:43"
545325,010284672557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 15:00:02"
545272,029725372557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 15:00:20"
545183,000650364757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 15:00:45"
545461,001692364757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 15:01:11"
545186,025903272557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 15:01:31"
545342,028756754053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:09:19"
545342,028756754053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:09:29"
545303,017348562753,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:09:50"
545303,017348562753,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:09:58"
545345,024758254153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:10:06"
545231,049996560253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:10:21"
545231,049996560253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:10:43"
545312,032363454153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 16:57:38"
545324,001555564857,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:01:44"
545274,012960364857,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:02:20"
545434,013784564657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:02:37"
545435,003608464457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:03:01"
545280,009351364357,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:03:17"
545328,026018472557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:03:52"
545259,010188372557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:04:15"
545256,009228764357,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:04:35"
545413,013728764657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:04:53"
545282,003659564457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:05:19"
545414,001324463757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:05:36"
545281,010291172557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:05:52"
545281,010291172557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:06:01"
545279,000796664757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:06:13"
545278,003407764457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:06:31"
545277,006794264357,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:06:48"
545284,003603264457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 17:07:12"
545360,034767154053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 18:33:38"
